#,PLAYER,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFG%,TS%
833,Bobby Phills,467,13429,5153,1957,4416,44.3,342,878,39,897,1215,73.8,411,1058,1469,1246,592,139,711,48.2,52
835,DeMarre Carroll,578,13674,5150,1806,4204,43,658,1839,35.8,880,1188,74.1,655,1799,2454,726,524,151,498,50.8,54.5
835,Chris Wilcox,628,12474,5150,2101,3884,54.1,0,18,0,948,1474,64.3,970,2106,3076,455,322,246,705,54.1,56.8
837,Aaron Gordon,403,11517,5143,1940,4330,44.8,441,1383,31.9,822,1173,70.1,639,1948,2587,964,312,257,562,49.9,53.1
838,Mccoy McLemore,580,12221,5130,1947,4943,39.4,-,-,-,1236,1603,77.1,-,-,3161,733,-,-,-,39.4,45.4
839,Ernie Grunfeld,693,12916,5124,2065,4328,47.7,33,98,33.7,961,1248,77,516,1299,1815,1419,472,134,801,48.1,52.5
840,Allan Bristow,648,13277,5122,1977,4296,46,16,56,28.6,1152,1444,79.8,893,1720,2613,2098,490,40,800,46.2,51.9
841,Blair Rasmussen,532,11409,5119,2248,4767,47.2,9,35,25.7,614,801,76.7,913,2093,3006,467,210,484,460,47.3,50
842,Eric Murdock,508,11883,5118,1889,4310,43.8,296,863,34.3,1044,1329,78.6,339,922,1261,2467,830,69,991,47.3,52.3
842,John Tresvant,559,12296,5118,1920,4256,45.1,-,-,-,1278,1843,69.3,-,-,3546,806,-,-,-,45.1,50.5
844,Howard Eisley,786,16016,5116,1881,4617,40.7,516,1474,35,838,1013,82.7,208,1116,1324,2748,540,83,1172,46.3,50.5
845,George Lynch,774,17682,5109,2086,4677,44.6,146,477,30.6,791,1213,65.2,1508,2394,3902,1121,817,258,890,46.2,49
846,Alan Henderson,652,13776,5094,1976,4215,46.9,5,26,19.2,1137,1778,63.9,1426,1823,3249,397,364,297,717,46.9,51
847,Jim Price,510,12815,5088,2129,4798,44.4,-,-,-,830,1018,81.5,389,1062,1566,1886,724,126,275,44.4,48.5
848,Tony Battie,837,17650,5082,2143,4387,48.8,12,74,16.2,784,1137,69,1376,2911,4287,522,420,713,704,49,52
848,Alec Burks,495,10806,5082,1736,4114,42.2,405,1114,36.4,1205,1523,79.1,302,1284,1586,918,322,92,628,47.1,53.1
850,JJ Hickson,534,11925,5081,2049,4056,50.5,0,21,0,983,1593,61.7,1173,2466,3639,449,274,309,774,50.5,53.4
851,Sidney Green,679,13247,5080,1993,4386,45.4,1,27,3.7,1093,1481,73.8,1300,2828,4128,635,369,220,1038,45.5,50.4
852,Keyon Dooling,728,14134,5067,1810,4356,41.6,446,1277,34.9,1001,1253,79.9,132,832,964,1601,463,75,803,46.7,51.6
853,Matt Geiger,552,12219,5059,2039,4083,49.9,16,69,23.2,965,1325,72.8,1152,2006,3158,388,306,347,744,50.1,54.2
854,Martell Webster,580,13914,5056,1696,4062,41.8,790,2067,38.2,874,1105,79.1,352,1459,1811,588,299,160,536,51.5,55.6
855,James Johnson,634,13081,5055,1992,4177,47.7,324,1046,31,747,1078,69.3,517,1767,2284,1355,497,570,928,51.6,54.3
856,Austin Rivers,552,13517,5053,1873,4485,41.8,612,1757,34.8,695,1079,64.4,190,973,1163,1267,385,100,619,48.6,50.9
857,T.R. Dunn,993,23080,5033,2030,4443,45.7,1,20,5,972,1341,72.5,1729,2642,4371,1631,1316,252,815,45.7,50
858,Jeremy Lamb,481,10196,5032,1874,4218,44.4,494,1457,33.9,790,928,85.1,252,1536,1788,770,352,173,407,50.3,54.4
859,Rod Thorn,466,10376,5012,1939,4479,43.3,-,-,-,1134,1569,72.3,-,-,1463,1214,-,-,-,43.3,48.5
860,K.C. Jones,676,17501,5011,1919,4961,38.7,-,-,-,1173,1814,64.7,-,-,2399,2908,-,-,-,38.7,43.5
861,Larry Steele,610,14777,5009,2020,4180,48.3,0,4,0,969,1218,79.6,428,917,1781,1719,846,96,195,48.3,53.1
862,Malik Rose,813,13404,5003,1792,4104,43.7,14,79,17.7,1405,1892,74.3,1166,2205,3371,684,487,293,1059,43.8,50.7
863,Walt Wesley,590,10306,5002,2002,4614,43.4,-,-,-,998,1585,63,81,119,3243,385,16,25,-,43.4,47.1
864,Thabo Sefolosha,869,19062,4994,1916,4264,44.9,513,1468,34.9,649,887,73.2,626,2626,3252,1196,935,366,755,50.9,53.6
865,Paul Neumann,451,11003,4989,1827,4136,44.2,-,-,-,1335,1670,79.9,-,-,1318,1453,-,-,-,44.2,51.2
866,Jodie Meeks,539,12110,4988,1665,3969,42,775,2078,37.3,883,1004,87.9,148,972,1120,583,413,36,410,51.7,56.5
867,Bo Outlaw,914,20742,4970,2005,3534,56.7,3,38,7.9,957,1837,52.1,1685,2752,4437,1441,855,1193,1056,56.8,57.2
868,Mike McGee,520,9271,4968,2087,4286,48.7,306,866,35.3,488,817,59.7,542,570,1112,629,371,49,630,52.3,53.5
869,Tony Delk,545,11705,4957,1874,4593,40.8,472,1376,34.3,737,958,76.9,349,1002,1351,1024,447,77,573,45.9,49.4
870,Malik Sealy,493,11725,4955,1865,4375,42.6,158,541,29.2,1067,1319,80.9,505,1080,1585,816,518,157,681,44.4,50
871,Greg Anderson,680,14043,4953,2011,4090,49.2,2,23,8.7,929,1668,55.7,1432,2814,4246,385,480,590,926,49.2,51.3
872,Hakim Warrick,526,10624,4947,1776,3627,49,21,110,19.1,1374,1892,72.6,692,1425,2117,400,218,154,624,49.3,55.5
873,Mark Blount,605,13981,4941,2020,4011,50.4,37,103,35.9,864,1195,72.3,895,1889,2784,513,327,508,933,50.8,54.5
874,Frank Johnson,596,12897,4937,1947,4433,43.9,53,243,21.8,990,1303,76,309,716,1025,2476,570,36,1054,44.5,49.3
875,Woody Sauldsberry,462,12788,4930,2189,6288,34.8,-,-,-,552,905,61,-,-,3618,498,-,-,-,34.8,36.9
876,Charlie Share,596,13023,4928,1562,3905,40,-,-,-,1804,2604,69.3,-,-,4986,809,-,-,-,40,48.8
877,Ryan Gomes,487,13463,4926,1891,4249,44.5,334,956,34.9,810,1014,79.9,617,1622,2239,712,351,78,550,48.4,52.5
878,Robert Pack,552,11463,4921,1739,4090,42.5,114,390,29.2,1329,1689,78.7,261,851,1112,2556,605,43,1320,43.9,50.9
879,Jamaal Magloire,680,14621,4917,1763,3675,48,0,7,0,1391,2176,63.9,1418,2990,4408,386,224,603,998,48,53.1
880,Jerryd Bayless,586,12486,4909,1719,4180,41.1,499,1382,36.1,972,1188,81.8,176,1059,1235,1674,370,73,825,47.1,52.2
881,Al Wood,417,9939,4902,1980,4254,46.5,40,190,21.1,902,1143,78.9,459,803,1262,742,310,159,569,47,51.5
882,Ben Poquette,718,15763,4899,1975,4092,48.3,13,59,22,936,1202,77.9,1061,2670,3731,872,384,794,686,48.4,53
883,Ed Conlin,486,11392,4891,1862,5039,37,-,-,-,1167,1556,75,-,-,2349,949,-,-,-,37,42.7
884,Johnny Moore,520,13430,4890,1998,4343,46,94,374,25.1,800,1123,71.2,391,1157,1548,3866,1017,116,1163,47.1,50.5
885,Dave Stallworth,522,10494,4860,1883,4296,43.8,-,-,-,1094,1495,73.2,58,87,2453,872,31,7,-,43.8,49.1
886,Mel Hutchins,437,16574,4851,1931,4962,38.9,-,-,-,989,1470,67.3,-,-,4186,1298,-,-,-,38.9,43.2
887,Lloyd Neal,435,11015,4846,1981,4087,48.5,-,-,-,884,1316,67.2,686,1717,3370,632,178,324,102,48.5,51.9
888,Kelly Olynyk,500,10648,4836,1759,3692,47.6,568,1524,37.3,750,968,77.5,582,1839,2421,934,355,223,706,55.3,58.7
889,Phil Jordon,442,10792,4835,1965,4940,39.8,-,-,-,905,1312,69,-,-,3028,769,-,-,-,39.8,43.8
890,Andrew Bynum,418,10690,4822,1917,3446,55.6,1,9,11.1,987,1431,69,1007,2214,3221,490,133,657,644,55.6,59.2
891,Flip Murray,487,11074,4817,1806,4360,41.4,328,1079,30.4,877,1210,72.5,192,814,1006,1096,404,100,742,45.2,49.2
892,P.J. Tucker,654,19192,4804,1741,4131,42.1,689,1911,36.1,633,846,74.8,1026,2773,3799,939,790,205,657,50.5,53.3
893,Kent Bazemore,551,11668,4801,1708,4137,41.3,590,1683,35.1,795,1095,72.6,198,1576,1774,1012,564,267,802,48.4,52
894,Winston Garland,511,13391,4799,1912,4444,43,73,260,28.1,902,1087,83,413,1020,1433,2421,674,80,975,43.8,48.7
895,T.J. Ford,429,11885,4797,1829,4223,43.3,127,439,28.9,1012,1242,81.5,296,1035,1331,2495,496,55,1047,44.8,50.3
895,Ron Williams,516,11478,4797,1858,4214,44.1,-,-,-,1081,1298,83.3,31,100,971,1818,75,4,-,44.1,50.1
897,Ledell Eackles,441,8917,4783,1810,4071,44.5,137,408,33.6,1026,1338,76.7,362,617,979,740,249,31,600,46.1,51.3
898,Ish Smith,610,12306,4760,2020,4698,43,258,809,31.9,462,676,68.3,216,1284,1500,2383,439,150,778,45.7,47.6
899,Nate McMillan,796,20466,4733,1833,4136,44.3,298,870,34.3,769,1183,65,919,2303,3222,4893,1544,356,1486,47.9,50.8
900,Jon Barry,821,13880,4715,1595,3672,43.4,657,1676,39.2,868,1023,84.8,318,1195,1513,1784,722,111,808,52.4,57.2
901,Tyronn Lue,554,12568,4710,1765,4039,43.7,460,1175,39.1,720,868,82.9,132,811,943,1727,286,10,659,49.4,53.3
902,Earl Lloyd,560,14477,4682,1766,4955,35.6,-,-,-,1150,1533,75,-,-,3609,810,-,-,-,35.6,41.6
903,Sean Rooks,749,13559,4676,1710,3725,45.9,2,22,9.1,1254,1795,69.9,943,1934,2877,631,255,499,804,45.9,51.8
904,Joe Kleine,965,14712,4666,1902,4201,45.3,13,48,27.1,849,1069,79.4,1268,2723,3991,622,261,285,777,45.4,49.9
904,Kermit Washington,507,12815,4666,1778,3382,52.6,0,4,0,1110,1691,65.6,1522,2710,4232,695,403,550,629,52.6,56.5
906,Fred Hetzel,416,8885,4658,1789,4246,42.1,-,-,-,1080,1322,81.7,-,-,2444,462,-,-,-,42.1,48.2
907,Jamaal Tinsley,547,14443,4652,1759,4481,39.3,397,1326,29.9,737,1029,71.6,345,1260,1605,3330,776,155,1375,43.7,47.1
908,Omri Casspi,588,11961,4642,1718,3781,45.4,493,1339,36.8,713,1052,67.8,473,1882,2355,662,362,134,595,52,54.7
909,Troy Hudson,517,11284,4637,1714,4278,40.1,452,1333,33.9,757,882,85.8,193,684,877,1748,273,30,818,45.3,49.7
910,Si Green,504,13132,4636,1732,4481,38.7,-,-,-,1172,1735,67.6,-,-,2152,1655,-,-,-,38.7,44.2
911,Matt Bonner,792,13357,4632,1749,3768,46.4,797,1923,41.4,337,432,78,622,1749,2371,552,285,213,299,57,58.5
912,Mickael Pietrus,557,11946,4629,1625,3821,42.5,679,1910,35.5,700,1053,66.5,440,1283,1723,445,371,230,576,51.4,54
913,Joe Ellis,524,10374,4623,1946,4884,39.8,-,-,-,731,1005,72.7,37,85,2686,716,33,9,-,39.8,43.4
914,Buck Johnson,505,11849,4617,1922,3942,48.8,7,62,11.3,766,1038,73.8,623,1137,1760,856,404,252,664,48.8,52.5
915,E'Twaun Moore,571,12175,4610,1872,4115,45.5,545,1397,39,321,435,73.8,268,895,1163,1015,380,126,511,52.1,53.5
916,Kurt Rambis,880,16299,4603,1802,3376,53.4,0,14,0,999,1450,68.9,1640,3321,4961,931,761,456,1033,53.4,57.3
917,Kevin Kunnert,555,12104,4602,2022,4251,47.6,0,0,0,558,818,68.2,1393,2638,4031,784,252,616,391,47.6,49.9
917,Jack Nichols,455,10703,4602,1785,4833,36.9,-,-,-,1032,1366,75.5,-,-,2782,883,-,-,-,36.9,42.3
919,Randy Breuer,681,12499,4599,1898,4060,46.7,0,4,0,803,1278,62.8,1061,1925,2986,616,305,750,676,46.7,49.7
920,Dorell Wright,549,12281,4597,1657,3908,42.4,617,1691,36.5,666,826,80.6,375,1718,2093,850,418,271,475,50.3,53.8
921,Tom Boerwinkle,635,14387,4596,1863,4109,45.3,-,-,-,870,1288,67.5,536,1220,5745,2007,110,138,26,45.3,49.1
922,Patrick Patterson,681,14341,4585,1799,4020,44.8,590,1597,36.9,397,526,75.5,803,1921,2724,707,354,288,439,52.1,53.9
923,Stromile Swift,547,10804,4582,1713,3623,47.3,2,27,7.4,1154,1650,69.9,885,1650,2535,275,354,683,690,47.3,52.7
924,Curtis Perry,480,13656,4578,1904,4188,45.5,-,-,-,770,1101,69.9,1022,1950,4239,906,379,291,63,45.5,49
925,Bob Gross,513,12575,4567,1857,3629,51.2,5,28,17.9,848,1062,79.8,940,1313,2253,1481,615,361,729,51.2,55.7
926,Anderson Varejao,627,15053,4561,1804,3534,51,1,42,2.4,952,1509,63.1,1504,3007,4511,734,537,405,592,51.1,54.3
927,Zaid Abdul-Aziz,505,11023,4557,1769,4138,42.8,-,-,-,1019,1400,72.8,503,1124,4065,601,131,205,11,42.8,47.9
928,Otto Porter Jr.,413,11078,4550,1768,3670,48.2,551,1364,40.4,463,587,78.9,476,1561,2037,618,486,183,331,55.7,57.9
929,Bison Dele,413,10004,4536,1847,3499,52.8,2,14,14.3,840,1215,69.1,853,1711,2564,440,320,355,822,52.8,56.2
930,Micheal Williams,413,10403,4533,1470,3170,46.4,48,211,22.7,1545,1780,86.8,300,750,1050,2385,717,95,938,47.1,57.3
931,Mike Evans,591,9858,4531,1835,4060,45.2,231,753,30.7,630,781,80.7,184,624,808,1514,430,51,818,48,51.4
932,Darius Miles,446,11726,4507,1874,3973,47.2,22,131,16.8,737,1250,59,575,1615,2190,840,384,495,892,47.4,49.8
933,Mike Glenn,593,9617,4496,1958,3611,54.2,8,28,28.6,572,669,85.5,152,558,710,952,318,43,429,54.3,57.6
934,Pervis Ellison,474,11592,4494,1826,3579,51,1,20,5,841,1221,68.9,1087,2083,3170,691,293,752,798,51,54.6
935,Don Buse,648,17070,4485,1829,4139,44.2,169,507,33.3,658,844,78,373,1134,1507,2920,1160,97,601,46.2,49.7
936,Anthony Parker,494,13752,4478,1661,3744,44.4,596,1474,40.4,560,705,79.4,241,1333,1574,1129,439,85,495,52.3,55.2
937,Austin Croshere,659,11481,4475,1491,3659,40.7,429,1262,34,1064,1236,86.1,700,1949,2649,627,245,216,656,46.6,53.2
938,Sonny Parker,452,10916,4471,1862,3715,50.1,0,2,0,747,989,75.5,756,1085,1841,954,611,150,619,50.1,53.9
939,Anthony Tolliver,719,14098,4434,1462,3521,41.5,861,2306,37.3,649,842,77.1,542,1864,2406,648,269,213,459,53.7,57
940,Anthony Johnson,793,15553,4432,1709,4131,41.4,332,933,35.6,682,916,74.5,293,1065,1358,2274,551,92,866,45.4,48.9
941,Andrew Lang,737,15348,4431,1780,3785,47,5,20,25,866,1164,74.4,1188,2323,3511,424,332,1099,697,47.1,51.6
942,Mason Plumlee,532,11477,4426,1740,3029,57.4,2,32,6.3,944,1679,56.2,1040,2254,3294,1183,399,490,781,57.5,58.7
942,Dave Robisch,508,10556,4426,1694,3710,45.7,0,4,0,1038,1275,81.4,798,1822,2620,813,220,193,415,45.7,51.8
944,Jerome Whitehead,679,11828,4423,1810,3642,49.7,0,2,0,803,1118,71.8,1141,2127,3268,374,251,200,696,49.7,53.5
945,Bob Harrison,615,12926,4418,1782,5067,35.2,-,-,-,854,1232,69.3,-,-,1358,1672,-,-,-,35.2,39.4
946,John Williams,435,10952,4406,1769,3921,45.1,65,289,22.5,803,1140,70.4,632,1569,2201,1262,566,184,684,45.9,49.8
947,Geoff Huston,496,12252,4380,1836,3805,48.3,16,63,25.4,692,978,70.8,201,483,684,2509,331,32,899,48.5,51.7
947,Luc Mbah a Moute,689,16038,4380,1685,3708,45.4,207,619,33.4,803,1218,65.9,962,1838,2800,588,612,263,646,48.2,51.6
949,Jim King,607,11187,4377,1700,4067,41.8,-,-,-,977,1249,78.2,-,-,1500,1412,-,-,-,41.8,47.4
950,George Johnson,904,18102,4369,1802,3995,45.1,1,2,50,764,1101,69.4,1960,3789,5887,929,456,2082,872,45.1,48.8
951,Gary Grant,552,12602,4368,1864,4140,45,95,342,27.8,545,702,77.6,347,936,1283,3013,821,69,1268,46.2,49.1
952,Gary Trent,506,9866,4366,1792,3580,50.1,4,50,8,778,1210,64.3,842,1434,2276,504,223,174,599,50.1,53.1
953,Lance Stephenson,508,11866,4354,1738,3917,44.4,346,1099,31.5,532,777,68.5,332,1792,2124,1456,333,72,836,48.8,51.1
954,C.J. Watson,600,12094,4344,1516,3617,41.9,471,1263,37.3,841,1036,81.2,218,938,1156,1485,559,67,650,48.4,53.3
955,Lester Conner,687,14970,4337,1639,3618,45.3,22,109,20.2,1037,1378,75.3,633,1228,1861,2669,1085,64,914,45.6,51.3
956,Damon Jones,657,13461,4326,1517,3730,40.7,941,2414,39,351,483,72.7,115,959,1074,1806,257,20,551,53.3,54.9
957,Francisco Garcia,549,11853,4323,1564,3659,42.7,581,1627,35.7,614,768,79.9,278,1122,1400,747,441,388,545,50.7,54.1
958,Marquis Daniels,548,11703,4319,1772,3933,45.1,103,439,23.5,672,932,72.1,521,1031,1552,966,509,137,644,46.4,49.7
959,Mark Bryant,797,13473,4313,1739,3481,50,1,12,8.3,834,1196,69.7,1120,1872,2992,491,330,195,661,50,53.8
960,Matt Guokas,735,16603,4285,1792,3665,48.9,-,-,-,701,964,72.7,77,246,1446,2174,117,41,-,48.9,52.4
961,Keith Bogans,671,14527,4257,1482,3759,39.4,714,2020,35.3,579,809,71.6,391,1426,1817,866,429,68,574,48.9,51.7
962,Charlie Johnson,521,9972,4241,1935,4507,42.9,-,-,-,371,491,75.6,423,763,1318,973,534,40,160,42.9,44.9
963,Tony Massenburg,683,12290,4238,1638,3484,47,1,11,9.1,961,1363,70.5,1054,1910,2964,266,261,322,685,47,51.9
964,Jack McMahon,524,14228,4237,1615,4790,33.7,-,-,-,1007,1580,63.7,-,-,1390,1939,-,-,-,33.7,38.6
965,Don Adams,487,12407,4236,1682,4186,40.2,-,-,-,872,1180,73.9,364,844,2732,869,283,55,-,40.2,45
966,Wesley Johnson,609,13472,4235,1629,4028,40.4,614,1823,33.7,363,490,74.1,337,1587,1924,645,468,402,525,48.1,49.9
967,Jerami Grant,454,11125,4220,1483,3192,46.5,372,1073,34.7,882,1319,66.9,426,1322,1748,484,269,508,423,52.3,55.9
968,George King,411,13408,4219,1517,3971,38.2,-,-,-,1185,1847,64.2,-,-,1606,1958,-,-,-,38.2,44.1
969,Ed Davis,668,13256,4215,1743,3068,56.8,0,4,0,729,1251,58.3,1530,2907,4437,511,333,544,520,56.8,58.2
969,Howard Porter,457,8534,4215,1838,3922,46.9,-,-,-,539,672,80.2,501,1070,1872,211,156,212,55,46.9,50
971,George Johnson,464,9878,4214,1704,3684,46.3,21,111,18.9,785,1008,77.9,831,1779,2610,817,432,284,879,46.5,51
971,Kendrick Perkins,782,17162,4214,1705,3219,53,0,14,0,804,1353,59.4,1305,3227,4532,813,263,903,1233,53,55.2
973,John Gianelli,541,13650,4210,1798,3823,47,0,0,0,614,875,70.2,967,2071,3188,832,225,476,275,47,50
973,Nenad Krstic,419,10548,4210,1724,3493,49.4,2,14,14.3,760,1041,73,772,1489,2261,346,162,286,497,49.4,53.3
975,Bob Leonard,426,11632,4204,1574,4510,34.9,-,-,-,1056,1418,74.5,-,-,1217,1427,-,-,-,34.9,40.9
976,Foots Walker,658,15036,4199,1538,3537,43.5,10,44,22.7,1113,1460,76.2,459,1227,1686,3111,992,83,792,43.6,50.2
977,Delonte West,432,11840,4198,1601,3571,44.8,376,1012,37.2,620,751,82.6,213,1052,1265,1540,465,179,702,50.1,53.8
978,Tom Burleson,446,9425,4190,1568,3526,44.5,0,3,0,1054,1452,72.6,918,1876,2794,601,312,591,236,44.5,50.3
979,Bobby Simmons,466,11510,4189,1551,3552,43.7,378,955,39.6,709,862,82.3,559,1232,1791,710,396,83,522,49,53.3
980,Sebastian Telfair,564,12150,4183,1542,3953,39,361,1133,31.9,738,950,77.7,151,747,898,1960,413,75,859,43.6,47.8
981,David Wingate,740,13244,4166,1690,3798,44.5,79,290,27.2,707,958,73.8,445,975,1420,1376,597,122,853,45.5,49.4
982,Odie Spears,479,8104,4161,1488,4066,36.6,-,-,-,1185,1554,76.3,-,-,1409,917,-,-,-,36.6,43.8
982,Alvin Williams,460,12610,4161,1664,3950,42.1,208,664,31.3,625,822,76,252,888,1140,1877,549,109,623,44.8,48.3
984,Jerry Sichting,598,12732,4141,1789,3531,50.7,48,177,27.1,515,601,85.7,196,621,817,1962,439,19,657,51.3,54.6
985,Marvin Webster,579,12966,4137,1575,3223,48.9,2,6,33.3,985,1597,61.7,1419,2625,4044,722,219,828,835,48.9,52.7
986,Michael Olowokandi,500,13132,4135,1788,4109,43.5,0,0,0,559,936,59.7,951,2463,3414,327,226,697,898,43.5,45.7
987,Dante Cunningham,715,14875,4133,1772,3777,46.9,216,626,34.5,373,575,64.9,804,1872,2676,506,459,336,352,49.8,51.3
988,Jim Krebs,515,10661,4128,1696,4188,40.5,-,-,-,736,975,75.5,-,-,3177,429,-,-,-,40.5,44.7
989,Chucky Brown,694,11959,4125,1712,3487,49.1,22,97,22.7,679,972,69.9,665,1483,2148,549,228,216,537,49.4,52.7
990,Cory Joseph,600,13115,4123,1615,3666,44.1,293,883,33.2,600,780,76.9,305,1246,1551,1736,459,132,600,48,51.4
991,Jim McElroy,418,10178,4120,1636,3494,46.8,7,34,20.6,841,1101,76.4,242,578,820,1462,384,127,610,46.9,51.8
991,Aaron Williams,715,12001,4120,1572,3190,49.3,1,16,6.3,975,1318,74,1016,1774,2790,485,282,539,663,49.3,54.6
993,Carlos Delfino,507,11581,4115,1472,3669,40.1,678,1856,36.5,493,650,75.8,287,1528,1815,887,461,88,509,49.4,52
994,Glen Davis,514,10865,4111,1614,3611,44.7,10,55,18.2,873,1247,70,731,1505,2236,457,357,173,528,44.8,49.4
995,Clemon Johnson,761,13310,4102,1699,3454,49.2,0,5,0,704,1134,62.1,1276,2232,3508,744,349,715,767,49.2,51.9
996,Jim Brewer,703,15936,4099,1785,3983,44.8,1,13,7.7,528,925,57.1,1660,2798,4458,1038,556,510,332,44.8,46.7
997,Greg Smith,524,12269,4097,1737,3607,48.2,-,-,-,623,965,64.6,94,184,3249,969,63,12,-,48.2,50.8
998,Fred Foster,523,9116,4093,1701,4107,41.4,-,-,-,691,950,72.7,132,162,1275,601,57,8,-,41.4,45.2
999,Luc Longley,567,12006,4090,1685,3647,46.2,0,5,0,720,947,76,872,1922,2794,836,278,549,942,46.2,50.3
1000,Nick Weatherspoon,453,9680,4086,1712,3763,45.5,0,0,0,662,929,71.3,789,1443,2232,418,344,145,319,45.5,49
